Timestamp,RA,Dec
01:50.9,109.5688836,39.98373172
01:51.1,109.5688836,39.98373172
01:51.2,110.209909,39.2061016
01:51.3,110.209909,39.2061016
01:51.4,110.209909,39.2061016
01:51.5,110.7324933,38.57007086
01:51.6,110.7324933,38.57007086
01:51.7,111.4217115,37.73231321
01:51.8,111.4217115,37.73231321
01:52.0,111.8454193,37.21729779
01:52.1,111.8454193,37.21729779
01:52.2,112.3752313,36.57254123
01:52.3,112.3752313,36.57254123
01:52.4,112.9343399,35.89377345
01:52.5,112.9343399,35.89377345
01:52.6,113.2994938,35.44995039
01:52.7,113.2994938,35.44995039
01:52.8,113.2994938,35.44995039
01:53.0,113.9725466,34.63110268
01:53.1,113.9725466,34.63110268
01:53.2,114.4906872,34.00293805
01:53.3,114.4906872,34.00293805
01:53.4,115.0042893,33.37712381
01:53.5,115.0042893,33.37712381
01:53.6,115.5517467,32.71175537
01:53.7,115.5517467,32.71175537
01:53.8,115.9234676,32.26156352
01:53.9,115.9234676,32.26156352
01:54.0,116.4650863,31.60330215
01:54.2,116.4650863,31.60330215
01:54.3,116.8628561,31.11987221
01:54.4,116.8628561,31.11987221
01:54.5,117.379111,30.49166315
01:54.6,117.379111,30.49166315
01:54.7,117.7977146,29.9821159
01:54.8,117.7977146,29.9821159
01:54.9,118.3432747,29.31986421
01:55.1,118.3432747,29.31986421
01:55.2,118.8582588,28.69399329
01:55.3,118.8582588,28.69399329
01:55.4,119.255404,28.21133641
01:55.5,119.255404,28.21133641
01:55.6,119.7736635,27.58151144
01:55.7,119.7736635,27.58151144
01:55.8,120.1721227,27.09804356
01:55.9,120.1721227,27.09804356
01:56.1,120.6955986,26.46186194
01:56.1,120.6955986,26.46186194
01:56.3,121.3623191,25.65001278
01:56.4,121.3623191,25.65001278
01:56.5,121.3623191,25.20529912
01:56.6,121.7275884,25.20529912
01:56.8,122.2784372,24.53744272
01:56.8,122.2784372,24.53744272
01:56.9,122.2784372,24.53744272
01:57.0,122.8110682,23.89094506
01:57.2,122.8110682,23.89094506
01:57.2,123.3280625,23.26184498
01:57.4,123.3280625,23.26184498
01:57.5,123.8457245,22.63273706
01:57.6,123.8457245,22.63273706
01:57.7,123.8457245,22.63273706
01:57.8,124.5216249,21.80973984
01:57.9,124.5216249,21.80973984
01:58.0,125.076436,21.13787519
01:58.2,125.076436,21.13787519
01:58.2,125.4697309,20.65910614
01:58.4,125.4697309,20.65910614
01:58.5,125.9887225,20.02838346
01:58.6,125.9887225,20.02838346
01:58.7,126.5070791,19.39843202
01:58.8,126.5070791,19.39843202
01:58.9,127.0247815,18.76849279
01:59.0,127.0247815,18.76849279
01:59.2,127.5470566,18.13536327
01:59.2,127.5470566,18.13536327
01:59.3,127.5470566,18.13536327
01:59.4,128.073235,17.49510038
01:59.6,128.073235,17.49510038
01:59.7,128.5981178,16.85562894
01:59.8,128.5981178,16.85562894
01:59.9,129.1171519,16.2264346
02:00.0,129.1171519,16.2264346
02:00.2,129.6400945,15.59248879
02:00.2,129.6400945,15.59248879
02:00.3,129.6400945,15.59248879
02:00.4,130.2933053,14.79864109
02:00.5,130.2933053,14.79864109
02:00.6,130.738767,14.25648712
02:00.7,130.738767,14.25648712
02:00.9,131.2636844,13.61774722
02:01.0,131.2636844,13.61774722
02:01.1,131.6583576,13.13811672
02:01.2,131.6583576,13.13811672
02:01.3,132.1689586,12.51598974
02:01.4,132.1689586,12.51598974
02:01.5,132.1689586,12.51598974
02:01.7,132.845643,11.69516433
02:01.7,132.845643,11.69516433
02:01.8,133.3373715,11.0967707
02:02.0,133.3373715,11.0967707
02:02.2,134.0127689,10.27513383
02:02.2,134.0127689,10.27513383
02:02.3,134.0127689,10.27513383
02:02.4,134.5377311,9.638710424
02:02.5,134.5377311,9.638710424
02:02.6,134.5377311,9.638710424
02:02.7,135.0653174,8.99831228
02:02.8,135.0653174,8.99831228
02:02.9,135.5902852,8.357922558
02:03.0,135.5902852,8.357922558
02:03.2,136.2605211,7.545709134
02:03.2,136.2605211,7.545709134
02:03.4,136.2605211,7.545709134
02:03.5,136.9275009,6.734296953
02:03.6,136.9275009,6.734296953
02:03.7,137.352184,6.218122854
02:03.8,137.352184,6.218122854
02:03.9,137.8745806,5.581620986
02:04.0,137.8745806,5.581620986
02:04.1,138.2725599,5.097916476
02:04.3,138.2725599,5.097916476
02:04.5,139.0646883,4.157772284
02:04.5,139.0646883,4.157772284
02:04.7,139.0646883,3.746034842
02:04.7,139.4328061,3.746034842
02:04.9,139.4328061,3.746034842
02:04.9,139.9534237,3.193396332
02:05.1,139.9534237,3.193396332
02:05.2,140.627272,2.535111436
02:05.3,140.627272,2.535111436
02:05.4,141.0255231,2.173323258
02:05.5,141.0255231,2.173323258
02:05.7,141.8103981,1.523146218
02:05.7,141.8103981,1.523146218
02:05.9,141.8103981,1.523146218
02:05.9,142.1833522,1.242895833
02:06.1,142.1833522,1.242895833
02:06.2,142.7213017,0.873053198
02:06.3,142.7213017,0.873053198
02:06.4,143.0930206,0.638267962
02:06.5,143.0930206,0.638267962
02:06.6,143.6447965,0.326083945
02:06.7,143.6447965,0.326083945
02:06.8,144.2005724,0.052683804
02:06.9,144.2005724,0.052683804
02:07.1,144.7400887,-0.173563999
02:07.1,144.7400887,-0.173563999
02:07.3,145.2692466,-0.357676759
02:07.4,145.2692466,-0.357676759
02:07.5,145.2692466,-0.357676759
02:07.6,145.798469,-0.503911727
02:07.7,145.798469,-0.503911727
02:07.8,146.3251275,-0.613028845
02:07.9,146.3251275,-0.613028845
02:08.0,146.8479525,-0.68469089
02:08.1,146.8479525,-0.68469089
02:08.3,147.2735518,-0.715884109
02:08.4,147.2735518,-0.715884109
02:08.5,147.7931902,-0.723223264
02:08.6,147.7931902,-0.723223264
02:08.7,148.3174246,-0.723099062
02:08.8,148.3174246,-0.723099062
02:08.9,148.3174246,-0.723099062
02:09.0,148.9885203,-0.722946353
02:09.1,148.9885203,-0.722946353
02:09.3,149.535584,-0.722826936
02:09.4,149.535584,-0.722826936
02:09.5,149.9102914,-0.722747679
02:09.6,149.9102914,-0.722747679
02:09.7,150.3124107,-0.72266491
02:09.8,150.3124107,-0.72266491
02:09.9,150.8529403,-0.722557139
02:10.0,150.8529403,-0.722557139
02:10.1,151.4032337,-0.722451547
02:10.2,151.4032337,-0.722451547
02:10.4,151.9248032,-0.722355161
02:10.5,151.9248032,-0.722355161
